url,title,start_year,end_year,parent,status,broadcasting_duration
/wiki/100_Days_My_Prince,100 Days My Prince,2018.0,2018.0,,completed,0.0
/wiki/12_Signs_of_Love,12 Signs of Love,2012.0,2012.0,,completed,0.0
/wiki/12_Years_Promise,12 Years Promise,2014.0,2014.0,,completed,0.0
/wiki/18_Again,18 Again,2020.0,2020.0,,completed,0.0
/wiki/1st_Republic_(TV_series),1st Republic,1981.0,1982.0,,completed,1.0
/wiki/365:_Repeat_the_Year,365: Repeat the Year,2020.0,2020.0,,completed,0.0
/wiki/4_Legendary_Witches,4 Legendary Witches,2014.0,2015.0,,completed,1.0
/wiki/49_Days,49 Days,2011.0,2011.0,,completed,0.0
/wiki/5th_Republic_(TV_series),5th Republic,2005.0,2005.0,,completed,0.0
/wiki/7_Escape,7 Escape,2023.0,2023.0,,completed,0.0
/wiki/7_First_Kisses,7 First Kisses,2016.0,2017.0,,completed,1.0
/wiki/7th_Grade_Civil_Servant,7th Grade Civil Servant,2013.0,2013.0,,completed,0.0
"/wiki/90_Days,_Time_to_Love","90 Days, Time to Love",2006.0,2007.0,,completed,1.0
/wiki/A_Beautiful_Mind_(TV_series),A Beautiful Mind,2016.0,2016.0,,completed,0.0
/wiki/A_Bird_That_Doesn%27t_Sing,A Bird That Doesn't Sing,2015.0,2015.0,,completed,0.0
/wiki/A_Daughter_Just_Like_You,A Daughter Just Like You,2015.0,2015.0,,completed,0.0
/wiki/A_Gentleman%27s_Dignity,A Gentleman's Dignity,2012.0,2012.0,,completed,0.0
/wiki/A_Girl_Who_Sees_Smells,A Girl Who Sees Smells,2015.0,2015.0,,completed,0.0
/wiki/A_Good_Day_to_Be_a_Dog,A Good Day to Be a Dog,2023.0,2023.0,,completed,0.0
/wiki/A_Happy_Woman,A Happy  Woman,2007.0,2007.0,,completed,0.0
/wiki/A_Hundred_Year_Legacy,A Hundred Year Legacy,2013.0,2013.0,,completed,0.0
/wiki/A_Korean_Odyssey,A Korean Odyssey,2017.0,2018.0,,completed,1.0
/wiki/A_Little_Love_Never_Hurts,A Little Love Never Hurts,2013.0,2014.0,,completed,1.0
/wiki/A_Love_So_Beautiful_(2020_TV_series),A Love So Beautiful,2020.0,2021.0,,completed,1.0
/wiki/A_Love_to_Kill,A Love to Kill,2005.0,2005.0,,completed,0.0
/wiki/A_Man_Called_God,A Man Called God,2010.0,2010.0,,completed,0.0
/wiki/A_Model_Family,A Model Family,2022.0,2022.0,,completed,0.0
/wiki/A_New_Leaf_(TV_series),A New Leaf,2014.0,2014.0,,completed,0.0
/wiki/A_Piece_of_Your_Mind,A Piece of Your Mind,2020.0,2020.0,,completed,0.0
/wiki/A_Place_in_the_Sun_(South_Korean_TV_series),A Place in the Sun,2019.0,2019.0,,completed,0.0
/wiki/A_Pledge_to_God,A Pledge to God,2018.0,2019.0,,completed,1.0
/wiki/A_Poem_a_Day,A Poem a Day,2018.0,2018.0,,completed,0.0
/wiki/A_Shoulder_to_Cry_On_(TV_series),A Shoulder to Cry On,2023.0,2023.0,,completed,0.0
/wiki/A_Superior_Day,A Superior Day,2022.0,2022.0,,completed,0.0
/wiki/A_Tale_of_Two_Sisters_(TV_series),A Tale of Two Sisters,2013.0,2013.0,,completed,0.0
/wiki/A_Thousand_Days%27_Promise,A Thousand Days' Promise,2011.0,2011.0,,completed,0.0
/wiki/A_Thousand_Kisses_(TV_series),A Thousand Kisses,2011.0,2012.0,,completed,1.0
/wiki/A_Time_Called_You,A Time Called You,2023.0,2023.0,,completed,0.0
/wiki/A_Witch%27s_Love,A Witch's Love,2014.0,2014.0,,completed,0.0
/wiki/A-Teen,A-Teen,2018.0,2018.0,,completed,0.0
/wiki/A-Teen_2,A-Teen 2,2019.0,2019.0,,completed,0.0
/wiki/About_Time_(TV_series),About Time,2018.0,2018.0,,completed,0.0
/wiki/Abyss_(TV_series),Abyss,2019.0,2019.0,,completed,0.0
/wiki/Ad_Genius_Lee_Tae-baek,Ad Genius Lee Tae-baek,2013.0,2013.0,,completed,0.0
/wiki/Adamas_(TV_series),Adamas,2022.0,2022.0,,completed,0.0
/wiki/Adult_Trainee,Adult Trainee,2021.0,2021.0,,completed,0.0
"/wiki/Aeja%27s_Older_Sister,_Minja","Aeja's Older Sister, Minja",2008.0,2008.0,,completed,0.0
/wiki/Aftermath_(South_Korean_TV_series),Aftermath,2014.0,2014.0,,completed,0.0
/wiki/Again_My_Life,Again My Life,2022.0,2022.0,,completed,0.0
/wiki/Age_of_Innocence_(TV_series),Age of Innocence,2002.0,2002.0,,completed,0.0
/wiki/Age_of_Warriors,Age of Warriors,2003.0,2004.0,,completed,1.0
/wiki/Agency_(South_Korean_TV_series),Agency,2023.0,2023.0,,completed,0.0
/wiki/Air_City,Air City,2007.0,2007.0,,completed,0.0
/wiki/Alchemy_of_Souls,Alchemy of Souls,2022.0,2022.0,,completed,0.0
/wiki/Alice_(South_Korean_TV_series),Alice,2020.0,2020.0,,completed,0.0
/wiki/All_About_Eve_(South_Korean_TV_series),All About Eve,2000.0,2000.0,,completed,0.0
/wiki/All_About_My_Mom,All About My Mom,2015.0,2016.0,,completed,1.0
/wiki/All_About_My_Romance,All About My Romance,2013.0,2013.0,,completed,0.0
/wiki/All_In_(TV_series),All In,2003.0,2003.0,,completed,0.0
/wiki/All_My_Love_For_You,All My Love For You,2010.0,2011.0,,completed,1.0
/wiki/All_of_Us_Are_Dead,All of Us Are Dead,2022.0,,,ongoing,1.0
/wiki/All_That_We_Loved,All That We Loved,2023.0,2023.0,,completed,0.0
/wiki/Alone_in_Love,Alone in Love,2006.0,2006.0,,completed,0.0
/wiki/Amanza,Amanza,2020.0,2020.0,,completed,0.0
/wiki/Amor_Fati_(TV_series),Amor Fati,2021.0,2021.0,,completed,0.0
/wiki/Andante_(TV_series),Andante,2017.0,2018.0,,completed,1.0
/wiki/Ang_Shim_Jung,Ang Shim Jung,2010.0,2011.0,,completed,1.0
/wiki/Angel_Eyes_(TV_series),Angel Eyes,2014.0,2014.0,,completed,0.0
/wiki/Angel%27s_Choice,Angel's Choice,2012.0,2012.0,,completed,0.0
/wiki/Angel%27s_Last_Mission:_Love,Angel's Last Mission: Love,2019.0,2019.0,,completed,0.0
/wiki/Angel%27s_Revenge_(TV_series),Angel's Revenge,2014.0,2014.0,,completed,0.0
/wiki/Angry_Mom,Angry Mom,2015.0,2015.0,,completed,0.0
/wiki/Anna_(South_Korean_TV_series),Anna,2022.0,2022.0,,completed,0.0
/wiki/Another_Miss_Oh,Another Miss Oh,2016.0,2016.0,,completed,0.0
/wiki/Another_Peaceful_Day_of_Second-Hand_Items,Another Peaceful Day of Second-Hand Items,2020.0,2020.0,,completed,0.0
/wiki/Apgujeong_Midnight_Sun,Apgujeong Midnight Sun,2014.0,2015.0,,completed,1.0
/wiki/April_Kiss,April Kiss,2004.0,2004.0,,completed,0.0
/wiki/Arang_and_the_Magistrate,Arang and the Magistrate,2012.0,2012.0,,completed,0.0
/wiki/Are_You_Human%3F,Are You Human?,2018.0,2018.0,,completed,0.0
/wiki/Argon_(TV_series),Argon,2017.0,2017.0,,completed,0.0
/wiki/Arthdal_Chronicles,Arthdal Chronicles,2019.0,2019.0,,completed,0.0
/wiki/Artificial_City,Artificial City,2021.0,2021.0,,completed,0.0
/wiki/Ask_the_Stars,Ask the Stars,2023.0,2023.0,,completed,0.0
/wiki/Asphalt_Man,Asphalt Man,1995.0,1995.0,,completed,0.0
/wiki/Assembly_(TV_series),Assembly,2015.0,2015.0,,completed,0.0
/wiki/Assorted_Gems,Assorted Gems,2009.0,2010.0,,completed,1.0
